id_cliente,idade,renda,tempo_emprego_anos,valor_divida,num_atrasos_12m,utilizacao_credito,possui_cartao_credito,score_interno,relacao_divida_renda,inadimplente,faixa_idade,faixa_renda,alto_endividamento,faixa_tempo_emprego,cliente_novo
1,0.7635567841879853,0.3669330643948883,1.8230006974643194,1.1078509258170772,-1.2489244350308897,1.1511507872682418,0,0.9353340948604619,1.0444882736179661,0,46-60,2k-4k,1,10+ anos,0
2,1.6175369273844242,-0.35407458301594064,-0.7995464936409983,-0.9384329806479262,0.4485603560406559,0.6088651847994672,0,-0.23957667306094135,-1.2294975335847682,0,60+,até 2k,0,1-3 anos,0
3,0.10664898172918605,2.2562649811605335,-0.5310967811656508,-0.5287088209286092,-1.2489244350308897,-1.1488881473406993,1,-0.47455882664522203,-1.2670495927862813,0,46-60,4k-8k,0,1-3 anos,0
4,-0.8130219417131329,-0.9641104625302368,1.719750808050724,-0.425571796051213,0.4485603560406559,1.3506121582912396,1,-0.016962001244254402,0.5145869937743931,1,26-35,até 2k,1,10+ anos,0
5,1.026319905171505,-1.0183840188654438,-0.9440963388200316,-0.9923781919980024,-0.4001820394951169,1.0638864374456805,0,-0.06643192831462928,-1.0361739695473493,0,46-60,até 2k,0,até 1 ano,0
6,-1.2728574034342923,-0.7609188230486728,-0.9027963830545935,-1.0770448710498322,-1.2489244350308897,1.0576532696012118,1,-1.847349302848125,-1.381096587398284,0,18-25,até 2k,0,até 1 ano,1
7,-0.4188772602378533,-0.31099316145072514,-0.8201964715237173,-0.8780062889168704,-0.4001820394951169,-0.7811312445170475,1,1.5166057379373667,-1.1404852451071077,0,36-45,até 2k,0,até 1 ano,0
8,0.7635567841879853,-0.05776880747431325,-0.07679726774583194,0.9851383315809419,0.4485603560406559,-1.123955475962825,1,-0.956890615581377,1.4895497160062687,0,46-60,2k-4k,1,3-5 anos,0
9,-0.5502588207296132,-0.462833737778373,-0.8408464494064364,0.3180890978054884,-0.4001820394951169,0.5963988491105298,0,-0.9321556520461897,1.1335005620956267,0,36-45,até 2k,1,até 1 ano,0
10,-0.2874956997460935,0.04739485094520574,2.5457499233594856,-0.32948759592364,-0.4001820394951169,-0.9120277692508897,0,-0.31378156366650367,-0.4895828856142149,0,36-45,2k-4k,1,10+ anos,0
11,-1.0757850626966525,-1.0183840188654438,-0.38654693598661755,-0.4554128314468797,-0.4001820394951169,-0.8808619300285465,1,-0.09116689184981672,0.5577023210057599,1,26-35,até 2k,1,3-5 anos,0
12,-1.0757850626966525,1.4906270829906192,-0.28329704657302235,1.1177183240560402,0.4485603560406559,1.0576532696012118,0,1.4547683290993982,0.14741130380404335,0,26-35,2k-4k,1,3-5 anos,0
13,-0.22180491950021358,-0.3405131083481828,-0.7169465821101222,0.15243669604536225,0.4485603560406559,0.08527908586409827,0,0.2798575611779949,0.632806439408786,1,36-45,até 2k,1,1-3 anos,0
14,1.6832277076303042,0.9738989431856203,-0.3452469802211794,1.303241333660456,-1.2489244350308897,-0.18898029929252336,1,0.5766771236002441,0.6522778775132743,0,60+,2k-4k,1,3-5 anos,0
15,0.5664844434503455,0.038138752667551956,0.10905253319863947,0.35646283352929464,-0.4001820394951169,-0.5006386915159573,1,0.2798575611779949,0.46451758150570904,0,46-60,2k-4k,1,5-10 anos,0
16,0.8292475644338653,0.1542179692153001,0.43945217932214403,-0.5154274059282778,-0.4001820394951169,2.086125963938543,1,0.2427551158752137,-0.795562627256173,0,46-60,2k-4k,1,5-10 anos,0
17,-0.22180491950021358,0.275985445361965,0.43945217932214403,-1.113451683536636,-0.4001820394951169,-1.3047173434524162,0,0.316960006480776,-1.5855466874954105,0,36-45,2k-4k,0,5-10 anos,0
18,-1.601311304663692,0.14476826728841247,-0.11809722351127006,-0.01693412726281151,0.4485603560406559,-0.07055011024761841,1,-1.8968192299184996,-0.13770618272596322,0,18-25,2k-4k,1,3-5 anos,0
